prim_mov,prim_fuel,MC,heat_rt,FC,VOM
ST,BIT,0.02987,10080,2.00512,0.00966
ST,LIG,0.02391,10080,1.41413,0.00966
ST,SC,0.03355,10080,2.37,0.00966
ST,SGC,0.03355,10080,2.37,0.00966
ST,SUB,0.0163,10080,0.65894,0.00966
ST,WC,0.03355,10080,2.37,0.00966
ST,DFO,0.14414,10156,13.24095,0.00966
ST,JF,0.13285,10156,12.12952,0.00966
ST,KER,0.22647,10156,21.34815,0.00966
ST,PC,0.12747,10156,11.6,0.00966
ST,RFO,0.16713,10156,15.50492,0.00966
ST,WO,0.12747,10156,11.6,0.00966
GT,DFO,0.19362,13457,13.24095,0.01544
GT,JF,0.17867,13457,12.12952,0.01544
GT,KER,0.30272,13457,21.34815,0.01544
GT,PC,0.17154,13457,11.6,0.01544
GT,RFO,0.22409,13457,15.50492,0.01544
GT,WO,0.17154,13457,11.6,0.01544
IC,DFO,0.14328,10403,13.24095,0.00553
IC,JF,0.13171,10403,12.12952,0.00553
IC,KER,0.22761,10403,21.34815,0.00553
IC,PC,0.1262,10403,11.6,0.00553
IC,RFO,0.16683,10403,15.50492,0.00553
IC,WO,0.1262,10403,11.6,0.00553
CA,DFO,0.135,9924,13.24095,0.0036
CA,JF,0.12397,9924,12.12952,0.0036
CA,KER,0.21546,9924,21.34815,0.0036
CA,PC,0.11872,9924,11.6,0.0036
CA,RFO,0.15747,9924,15.50492,0.0036
CA,WO,0.11872,9924,11.6,0.0036
CT,DFO,0.135,9924,13.24095,0.0036
CT,JF,0.12397,9924,12.12952,0.0036
CT,KER,0.21546,9924,21.34815,0.0036
CT,PC,0.11872,9924,11.6,0.0036
CT,RFO,0.15747,9924,15.50492,0.0036
CT,WO,0.11872,9924,11.6,0.0036
IC,LFG,0.05843,13959,3.79,0.00553
ST,NG,0.0617,10408,5,0.00966
GT,NG,0.07233,11378,5,0.01544
IC,NG,0.05241,9375,5,0.00553
CA,NG,0.04189,7658,5,0.0036
CS,NG,0.04189,7658,5,0.0036
CT,NG,0.04189,7658,5,0.0036
CA,DG,0.05643,13500,3.79,0.00526
ST,DG,0.05643,13500,3.79,0.00526
ST,BLQ,0.05643,13500,3.79,0.00526
ST,MSB,0.06513,14878,3.79,0.00874
ST,OBS,0.05643,13500,3.79,0.00526
ST,WDS,0.05643,13500,3.79,0.00526
ST,WDL,0.05643,13500,3.79,0.00526
HY,WAT,0.0119,9756,0,0.0119
PV,SUN,0,9756,0,0
WT,WND,0,9756,0,0
ST,NUC,0.02679,1,0.00771,0.01908
ADD,MWH,,,,
ADD,BIT,0.02987,10080,2.00512,0.00966
ADD,LIG,0.02391,10080,1.41413,0.00966
ADD,SC,0.03355,10080,2.37,0.00966
ADD,SGC,0.03355,10080,2.37,0.00966
ADD,SUB,0.0163,10080,0.65894,0.00966
ADD,WC,0.03355,10080,2.37,0.00966
ADD,DFO,0.14414,10156,13.24095,0.00966
ADD,JF,0.13285,10156,12.12952,0.00966
ADD,KER,0.22647,10156,21.34815,0.00966
ADD,PC,0.12747,10156,11.6,0.00966
ADD,RFO,0.16713,10156,15.50492,0.00966
ADD,WO,0.12747,10156,11.6,0.00966
ADD,LFG,0.05843,13959,3.79,0.00553
ADD,NG,0.05202,,,
ADD,DG,0.05643,13500,3.79,0.00526
ADD,BLQ,0.05643,13500,3.79,0.00526
ADD,MSB,0.06513,14878,3.79,0.00874
ADD,OBG,0.05643,13500,3.79,0.00526
ADD,OBS,0.05643,13500,3.79,0.00526
ADD,WDS,0.05643,13500,3.79,0.00526
ADD,WDL,0.05643,13500,3.79,0.00526
ADD,WAT,0.0119,9756,0,0.0119
ADD,SUN,0,9756,0,0
ADD,WND,0,9756,0,0
ADD,NUC,0.02679,1,0.00771,0.01908
